ID,Identyfikator API,Nazwa,Województwo,Powiat,Gmina,Miejscowość,Ulica,Numer Budynku,Numer Lokalu,Email,Telefon,Liczba dzieci,Liczba miejsc,Adres WWW
37,2206/Z,Żłobek ŻABKA ,ZACHODNIOPOMORSKIE,Koszalin,Koszalin,Koszalin,ul. Karola Szymanowskiego,24c,,helena.lach@gmail.com,504292132,29,29,zabkaiilo.pl
38,2210/Z,Żłobek Miejski Nr 3 w Żarach,LUBUSKIE,żarski,Żary,Żary,ul. Broni Pancernej,10,,mz3@zary.pl,683743975,78,86,
39,2152/Z,Żłobek Tygryski,WIELKOPOLSKIE,poznański,Swarzędz,Gruszczyn,ul. Swarzędzka,33,35,zapisy@zlobektygryski.pl,881088250,28,37,www.zlobektygryski.pl
40,2157/Z,"Żłobek Miejski ""Maciuś""",WIELKOPOLSKIE,poznański,Swarzędz,Swarzędz,os. Czwartaków,9,,zlobek.macius@swarzedz.pl,0618174265,95,95,www.zlobekmacius.swarzedz.pl
41,2217/Z,Sowy i Sówki,WIELKOPOLSKIE,ostrowski,Ostrów Wielkopolski,Ostrów Wielkopolski,ul. Marcina Kasprzaka,4,,info@sowy-sowki.pl,625925317,60,61,www.sowy-sowki.pl
42,2227/Z,Żłobek Nr 1,MAŁOPOLSKIE,Tarnów,Tarnów,Tarnów,ul. Topolowa,4,,zztzlobek_1@interia.pl,146330638,139,134,www.zlobki.tarnow.pl
43,2226/Z,Żłobek Miejski Nr 1 w Grudziądzu,KUJAWSKO-POMORSKIE,Grudziądz,Grudziądz,Grudziądz,ul. Kazimierza Mastalerza,6,,dyrektor@zlobek1.grudziadz.pl,564632642,26,26,
44,2242/Z,Złobek Nr 3,MAŁOPOLSKIE,Tarnów,Tarnów,Tarnów,ul. Juliana Goslara,5,,zztzlobek_3@interia.pl,146213961,58,51,www.zlobki.tarnow.pl
45,2247/Z,"Żłobek Niepubliczny ""BAYEREK""",KUJAWSKO-POMORSKIE,Grudziądz,Grudziądz,Grudziądz,ul. Chełmińska,206,,sekretariat@atmbg.eu,790818286,12,156,www.grudziadz.bayerek.pl
46,2252/Z,"Żłobek Miejski ""Niezapominajka"" w Białogardzie",ZACHODNIOPOMORSKIE,białogardzki,Białogard,Białogard,ul. Kochanowskiego,21,,zlobek1@bialogard.info,943579560,55,75,
47,2256/Z,TAJEMNICZY OGRÓD - ŻŁOBEK,WIELKOPOLSKIE,poznański,Tarnowo Podgórne,Przeźmierowo,ul. Krańcowa,109,,biuro@zlobektajemniczyogrod.pl,696434293,17,17,http://www.zlobektajemniczyogrod.pl/
48,2147/Z,Żłobek nr 4,LUBELSKIE,Lublin,Lublin,Lublin,ul. Puławska,7,,nr4@zlobki.lublin.eu,815338829,82,109,nr4.zlobki.lublin.eu
49,2150/Z,Żłobek nr 6,LUBELSKIE,Lublin,Lublin,Lublin,ul. Zbigniewa Herberta,12,,nr6@zlobki.lublin.eu,817444361,124,128,nr6.zlobki.lublin.eu
50,2172/Z,Bam - Bam,KUJAWSKO-POMORSKIE,Toruń,Toruń,Toruń,ul. Gustawa Morcinka,13,,biuro@zlobekbambam.pl,531613380,29,36,www.zlobekbambam.pl
51,2179/Z,"Żłobek Miejski nr 12 ""Balbinka""",KUJAWSKO-POMORSKIE,Bydgoszcz,Bydgoszcz,Bydgoszcz,ul. Bohaterów Westerplatte,4a,,zlobek12@zlobkibydgoskie.lo.pl,523612614,140,138,zlobkibydgoskie.lo.pl
52,2180/Z,"Żłobek Miejski nr 13 ""Maciuś""",KUJAWSKO-POMORSKIE,Bydgoszcz,Bydgoszcz,Bydgoszcz,ul. Marcina Kasprzaka,5,,zlobek13@zlobkibydgoskie.lo.pl,523731364,138,138,zlobkibydgoskie.lo.pl
53,2189/Z,Żłobek Samorządowy w Ozimku,OPOLSKIE,opolski,Ozimek,Ozimek,ul. księdza Kałuży,15,,info@zso.ozimek.pl,774651355,73,100,www.zso.ozimek.pl
54,2195/Z,"Niepubliczny Żłobek ""Świat Malucha"" w Szprotawie",LUBUSKIE,żagański,Szprotawa,Szprotawa,ul. Rolna,1a,-,biuro@wzgorzadalkowskie.pl,690292950,74,98,www.edukacja.wzgorzadalkowskie.pl
55,2216/Z,Żłobek Miejski w Ostrowie Wielkopolskim,WIELKOPOLSKIE,ostrowski,Ostrów Wielkopolski,Ostrów Wielkopolski,ul. Dr Tadeusza Jankowskiego,10a,,sekretariat@zlobekostrow.pl,627369600,130,138,www.zlobekostrow.pl
56,2244/Z,"Niepubliczny Integracyjny Żłobek ""Urwis""",KUJAWSKO-POMORSKIE,Grudziądz,Grudziądz,Grudziądz,ul. Ludwika Waryńskiego,104,,kontakt@dommalegoskrzata.pl,793107395,2,100,www.edukacja.grudziadz.com
57,2248/Z,Żłobek Nr 4,MAŁOPOLSKIE,Tarnów,Tarnów,Tarnów,ul. Westerplatte,12,,zztzlobek_4@interia.pl,146231240,27,25,www.zlobki.tarnow.pl
58,2106/Z,Integracyjny Żłobek TUTEK,LUBUSKIE,Zielona Góra,Zielona Góra,Zielona Góra,ul. Leopolda Okulickiego,37,,justynakube@wp.pl,608580624,20,48,www.tutek.eu
59,2109/Z,"Niepubliczny Żłobek ""TUP TUP""",LUBUSKIE,Zielona Góra,Zielona Góra,Zielona Góra,ul. Strumykowa,15 J,,b.ostrycharczyk@wp.pl,684539191,35,35,www.tuptup.com.pl
60,2110/Z,"Mini Żłobek ""Margolcia""",LUBUSKIE,Zielona Góra,Zielona Góra,Zielona Góra,ul. Stefana Batorego,100A,,zlobek@margolcia.zgora.pl,505963061,20,20,www.margolcia.zgora.pl
61,2111/Z,"Niepubliczny Żłobek ""KLEKOTEK""",LUBUSKIE,Zielona Góra,Zielona Góra,Zielona Góra,ul. Piękna,22,24,dorotagorajska@gmail.com,604640276,29,23,www.klekotek.pl
62,2122/Z,Żłobek - Twórcze Smyki,WIELKOPOLSKIE,poznański,Dopiewo,Skórzewo,ul. Spółdzielcza,15,,info@zlobekskorzewo.pl,605610781,18,22,www.zlobekskorzewo.pl
63,2123/Z,Akademia ArcyMalce,WIELKOPOLSKIE,poznański,Dopiewo,Dąbrowa,ul. Szafirowa,1A,,akademia@arcymalce.pl,616700131,46,46,www.arcymalce.pl
64,2175/Z,"Żłobek Miejski nr 1 ""Słoneczko""",KUJAWSKO-POMORSKIE,Bydgoszcz,Bydgoszcz,Bydgoszcz,pl. Plac Poznański,9,,zlobek1@zlobkibydgoskie.lo.pl,523731564,123,123,www.zlobkibydgoskie.lo.pl
65,2177/Z,"Żłobek Miejski nr 5 ""Chatka Puchatka""",KUJAWSKO-POMORSKIE,Bydgoszcz,Bydgoszcz,Bydgoszcz,ul. Adama Asnyka,7,,zlobek5@zlobkibydgoskie.lo.pl,523223702,63,63,zlobkibydgoskie.lo.pl
66,2094/Z,Żłobek Miejski nr 7 ,LUBUSKIE,Zielona Góra,Zielona Góra,Zielona Góra,ul. Braniborska,2a,,zlobek7@zlobek7.pl,683247102,203,250,www.zlobek7.prv.pl
67,2124/Z,Akademia Maluszka Słodki Bobasek s.c,PODKARPACKIE,rzeszowski,Boguchwała,Boguchwała,ul. Przemysłowa,3,30,KONTAKT@SLODKIBOBASEK.PL,695761799,27,69,WWW.SLODKIBOBASEK.PL
68,2159/Z,Żłobek Miejski Nr 3,KUJAWSKO-POMORSKIE,Toruń,Toruń,Toruń,ul. Konstytucji 3 Maja,16,,zlobeknr3@wp.pl,566486554,119,119,www.zlobek3torun.pl
69,2160/Z,Żłobek Miejski nr 1,KUJAWSKO-POMORSKIE,Toruń,Toruń,Toruń,ul. Bażyńskich,24/26,,biuro@zlobek1torun.pl,566231279,119,119,zlobek1torun.pl
70,2171/Z,"Żłobek Samorządowy ""Bajka""",LUBUSKIE,słubicki,Słubice,Słubice,ul. Wojska Polskiego,15A,,dyrektorzp@edukacja.slubice.pl,957583039,120,135,www.edukacja.slubice.pl
71,2203/Z,Złobek NIepubliczny Kamyczek S.C. Monika i Jarosław Ferenszkiewicz ,ZACHODNIOPOMORSKIE,Koszalin,Koszalin,Koszalin,ul. Powstańców Wielkopolskich,6a,,info@kamyczekwprzedszkolu.pl,698664994,45,50,www.kamyczekwprzedszkolu.pl
72,2164/Z,Żłobek Miejski Nr 2,KUJAWSKO-POMORSKIE,Toruń,Toruń,Toruń,ul. Heleny Piskorskiej,9,,zlobek2torun@op.pl,566599390,119,119,
73,2183/Z,"Żłobek ""Dzwoneczek""",LUBELSKIE,Lublin,Lublin,Lublin,ul. Aleja Spółdzielczości Pracy,109A,,jola.2890@gmail.com,696855804,41,45,dzwoneczek.lublin.pl
74,2185/Z,Żłobek Integracyjny,KUJAWSKO-POMORSKIE,Bydgoszcz,Bydgoszcz,Bydgoszcz,ul. Stawowa,1c,,zlobekintegracyjny@zlobkibydgoskie.lo.pl,523482878,116,116,zlobkibydgoskie.lo.pl
75,2214/Z,Żłobek Miejski w Świeciu,KUJAWSKO-POMORSKIE,świecki,Świecie,Świecie,ul. Chmielniki,3,,noga@swiecie.eu,523311903,65,65,
76,2224/Z,Żłobek Miejski Nr 1 w Żarach,LUBUSKIE,żarski,Żary,Żary,ul. Okrzei,13,,mz1@zary.pl,683743210,74,83,
77,2089/Z,"Żłobek Niepubliczny ""Kids""",ZACHODNIOPOMORSKIE,Szczecin,Szczecin,Szczecin,ul. Anny Walentynowicz,1 D,,akademia.usmiechu@op.pl,791590035,14,31,przedszkolekids.pl/zlobek/
78,2090/Z,"Żłobek ""Akademia uśmiechu""",ZACHODNIOPOMORSKIE,Szczecin,Szczecin,Szczecin,ul. Kwiatowa,12,,akademia.usmiechu@op.pl,797663099,24,24,www.akademiausmiechu.szczecin.pl
79,2105/Z,"Żłobek Montessori ""BOSE STÓPKI""",LUBUSKIE,Zielona Góra,Zielona Góra,Zielona Góra,ul. Aleja Wojska Polskiego,88,B,zlobek@bosestopki.pl,537105520,36,60,www.bosestopki.pl
80,2114/Z,"Żłobek ""Stonoga""",LUBELSKIE,kraśnicki,Kraśnik,Kraśnik,ul. Juliusza Słowackiego,3B,,stonogakrasnik@gmail.com,533503770,47,48,stonogakrasnik.com.pl
81,2136/Z,Żłobek Happy Kids,POMORSKIE,kościerski,Kościerzyna,Kościerzyna,ul. Kupiecka,7,,przedszkole@bestchoice.com.pl,607663311lub586863311,15,15,http://www.bestchoice.com.pl/
82,2138/Z,Żłobek w Staszowie,ŚWIĘTOKRZYSKIE,staszowski,Staszów,Staszów,ul. Jana Kilińskiego,20,,pnr_8@vp.pl,+48158641484,55,58,
83,2145/Z,Żłobek nr 2,LUBELSKIE,Lublin,Lublin,Lublin,ul. Stefana Okrzei,11,,nr2@zlobki.lublin.eu,817473505,125,128,nr2.zlobki.lublin.eu
84,2104/Z,"Żłobek ""Little Hands""",LUBUSKIE,Zielona Góra,Zielona Góra,Zielona Góra,ul. Agrestowa,29,1,jolachmielewska@wp.pl,696317666,15,15,
85,8485/Z,Żłobek Montessori w Pobiedziskach,WIELKOPOLSKIE,poznański,Pobiedziska,Pobiedziska,ul. Tysiąclecia,3b,,biuro@naszeprzedszkole.com.pl,618177079,29,64,www.pobiedziska.edu.pl
86,2155/Z,Prywatny Żłobek Kraina Małych Stópek,WIELKOPOLSKIE,poznański,Swarzędz,Zalasewo,ul. Kórnicka,214,,biuro.krainamalychstopek@gmail.com,733920902,28,41,http://www.krainamalychstopek.pl/
87,2166/Z,Mądry Maluch,KUJAWSKO-POMORSKIE,Toruń,Toruń,Toruń,ul. Legionów,16,1,madrymaluch.pl@gmail.com,609067850,26,26,www.madrymaluch.pl
88,2181/Z,"Żłobek Miejski nr 17 ""Muszelka""",KUJAWSKO-POMORSKIE,Bydgoszcz,Bydgoszcz,Bydgoszcz,ul. Morska,2,,zlobek17@zlobkibydgoskie.lo.pl,523422626,146,146,zlobkibydgoskie.lo.pl
89,2182/Z,"Żłobek Miejski nr 18 ""Biedroneczka""",KUJAWSKO-POMORSKIE,Bydgoszcz,Bydgoszcz,Bydgoszcz,ul. Brzozowa,28,,zlobek18@zlobkibydgoskie.lo.pl,523713884,253,253,zlobkibydgoskie.lo.pl
90,2193/Z,"Żłobek ""Filo"" ",ZACHODNIOPOMORSKIE,Koszalin,Koszalin,Koszalin,ul. Marszałka Józefa Piłsudskiego,52,,helena.lach@gmail.com,504292132,115,115,zabkaifilo.pl
91,2196/Z,"Żłobek Niepubliczny ""Kubuś"" w Zagórzu",PODKARPACKIE,sanocki,Zagórz,Zagórz,ul. Słowicza,7,,januszkrajnik@op.pl,692695648,21,38,www.parafia-tarnawa.pl
92,2267/Z,Żłobek Nr 9 w Opolu,OPOLSKIE,Opole,Opole,Opole,ul. Skautów Opolskich,6,,biuro@zlobek9.opole.pl,774559148,86,93,http://zlobek9.opole.pl/
93,2278/Z,Żłobek Nr 10   RUMCAJS,PODKARPACKIE,Rzeszów,Rzeszów,Rzeszów,ul. Stefana Starzyńskiego,19,,zlobek10@mzz.resman.pl,177481144,156,153,mzz.resman.pl
94,2282/Z,Akademia Maluszka Słodki Bobasek,PODKARPACKIE,Rzeszów,Rzeszów,Rzeszów,ul. Reformacka,4,,KONTAKT@SLODKIBOBASEK.PL,695761799,24,50,WWW.SLODKIBOBASEK.PL
95,2338/Z,Żłobek Miejski w Dąbrowie Górniczej Siedziba,ŚLĄSKIE,Dąbrowa Górnicza,Dąbrowa Górnicza,Dąbrowa Górnicza,ul. Jaworowa,4,,sekretariat@zmdg.pl,322625012,144,144,www.zmdg.pl
96,2259/Z,"""CHATA SKRZATA"" Żlobek Niepubliczny Agnieszka Kutek",MAŁOPOLSKIE,Tarnów,Tarnów,Tarnów,ul. Józefa Piłsudskiego,31,,ZLOBEK@CHATA-SKRZATA.PL,665923050,35,40,WWW.CHATA-SKRZATA.PL
97,2269/Z,Akademia Kinder Centrum,OPOLSKIE,Opole,Opole,Opole,ul. Powstańców Śląskich,34,,biuro@kinder-centrum.pl,606224563,20,57,www.kindercentrum.pl
98,2300/Z,Żłobek Miejski w Stalowej Woli,PODKARPACKIE,stalowowolski,Stalowa Wola,Stalowa Wola,al. Aleje Jana Pawła II,5A,,zlobekmiejski@stalowawola.pl,158425709,90,90,zlobek-stalowawola.pl
99,2325/Z,Niepubliczny Żłobek PUCHATEK,ZACHODNIOPOMORSKIE,goleniowski,Goleniów,Goleniów,ul. Stargardzka,17,,info@przedszkole-goleniow.pl,530204030,30,40,www.przedszkole-goleniow.pl
100,2358/Z,Niepubliczny Żłobek Wesołe Koziołki,WIELKOPOLSKIE,Poznań,Poznań-Nowe Miasto,Poznań-Nowe Miasto,ul. Bolesławy,21,-,biuro@wesolekoziolki.pl,503467887,24,40,www.wesolekoziolki.pl
101,2260/Z,Żłobek Publiczny w Warkałach,WARMIŃSKO-MAZURSKIE,olsztyński,Jonkowo,Warkały,,18,,przedszkolejonkowo@jonkowo.pl,895273904,22,22,www.przedszkole.jonkowo.pl
102,2353/Z,Gminny Żłobek w Żabnie,MAŁOPOLSKIE,tarnowski,Żabno,Żabno,ul. Władysława Jagiełły,12,,przedszkolezabno@zabno.pl,146456973,42,40,www.przedszkole.zabno.com
103,2370/Z,Żłobek Niezapominajka,POMORSKIE,kartuski,Żukowo,Banino,ul. Sosnowa,17,,biuro@przedszkolebanino.pl,605115533,5,15,www.zlobek-banino.pl
104,2373/Z,"Prywatny Żłobek ""Zaczarowany Parasol""",WIELKOPOLSKIE,Poznań,Poznań-Wilda,Poznań-Wilda,ul. Wierzbięcice,24B,15,zaczarowany.parasol@gmail.com,616393377,14,13,www.zaczarowany-parasol.pl
105,2379/Z,Klub Dziecięcy nr 1 w Skwierzynie w Zespole Klubów Dziecięcych w Skwierzynie,LUBUSKIE,międzyrzecki,Skwierzyna,Skwierzyna,ul. Mickiewicza,26,,klubdzieciecy@skwierzyna.pl,669090499,25,25,klubikskwierzyna.pl
106,2383/Z,"Żłobek ""Jagodowa Kraina""",WIELKOPOLSKIE,Poznań,Poznań-Nowe Miasto,Poznań-Nowe Miasto,ul. Milczańska,50,1,jagodowaakraina@gmail.com,535573013,30,30,
107,2273/Z,"Oddział Żłobkowy w Miejskim Przedszkolu z Oddziałami Integracyjnymi nr 3 ""Promyczek"" w Szczytnie",WARMIŃSKO-MAZURSKIE,szczycieński,Szczytno,Szczytno,ul. Marii Konopnickiej,70,,dyrektor@zlobek.miastoszczytno.pl,604639070,79,96,mp3.miastoszczytno.pl
108,2288/Z,"Niepubliczny Żłobek ""Paprotka""",OPOLSKIE,Opole,Opole,Opole,ul. Wieluńska,21,,info@zlobek-przedszkole.opole.pl,500309610,75,91,zlobek-przedszkole.opole.pl
109,2344/Z,Żłobek Krecik ,WIELKOPOLSKIE,Poznań,Poznań-Stare Miasto,Poznań-Stare Miasto,os. Bolesława Chrobrego,108,,krecik@zlobekpoznan.pl,669606041,133,133,
110,2347/Z,Żłobek Raj Maluszka,WIELKOPOLSKIE,Poznań,Poznań-Nowe Miasto,Poznań-Nowe Miasto,ul. Warszawska,61,,info@rajmaluszka.com,605084111,31,31,www.rajmaluszka.com
111,2348/Z,Żłobek Kaczka Dziwaczka,WIELKOPOLSKIE,Poznań,Poznań-Wilda,Poznań-Wilda,ul. Saperska,51,1-1a,zp.kaczkadziwaczka@gmail.com,517954711,50,52,www.kaczkadziwaczka.com.pl
112,2349/Z,Klub Malucha Żuczki,WIELKOPOLSKIE,Poznań,Poznań-Nowe Miasto,Poznań-Nowe Miasto,ul. Widawska,17,,biuro@zuczki.pl,505189130,14,15,www.zuczki.pl
113,4866/Z,Żłobek Michałki,WIELKOPOLSKIE,Poznań,Poznań-Nowe Miasto,Poznań-Nowe Miasto,os. Czecha,75,,michalki@zlobekpoznan.pl,663999145,108,108,
114,2290/Z,Żłobek Nr 3 w Opolu,OPOLSKIE,Opole,Opole,Opole,ul. Górna,50,,biuro@zlobek3.opole.pl,774134282,88,89,http://www.zlobek3.opole.pl/
115,2302/Z,Miejski Żłobek Żory,ŚLĄSKIE,Żory,Żory,Żory,ul. Osińska,99K,,sekretariat@zorskizlobek.pl,324352580,175,175,www.zorskizlobek.pl
116,2305/Z,Żłobek im. Aniołów Stróżów,KUJAWSKO-POMORSKIE,Toruń,Toruń,Toruń,ul. Inowrocławska,44,,zlobek@kreatywnyrozwoj.pl,603206203,14,19,
117,2310/Z,"ŻŁOBEK MIEJSKI ""TĘCZOWY ŚWIAT""",OPOLSKIE,brzeski,Brzeg,Brzeg,ul. Gaj,3,,teczowyzlobek@brzeg.pl,774047095,122,122,www.zlobek-teczowyswiat.pl
118,2312/Z,Żłobek Miejski,OPOLSKIE,głubczycki,Głubczyce,Głubczyce,ul. Wałowa,8,,przedszkole3glubczyce@wp.pl,774853347,61,120,
119,2314/Z,ŻŁOBEK MIEJSKI W GŁUCHOŁAZACH,OPOLSKIE,nyski,Głuchołazy,Głuchołazy,ul. Aleja Jana Pawła II,24,,zlobekmiejski@glucholazy.pl,774391508,95,125,www.zlobekglucholazy.szkolnastrona.pl
120,2315/Z,ŻŁOBEK NIEPUBLICZNY-BRYGIDA NOWAK ,OPOLSKIE,nyski,Głuchołazy,Głuchołazy,ul. Bohaterów Warszawy,9,,pnpuchatek@interia.pl,774391339,15,15,
121,2316/Z,Żłobek Samorządowy w Troszynie,MAZOWIECKIE,ostrołęcki,Troszyn,Troszyn,ul. Juliusza Słowackiego,4C,,edytaginalska@interia.pl,734460794,51,53,
